CustomerID,Count,AppID,FundedAppCount,TierName,Stage,StageDate,PaymentStatus,FundedDate,LastPaymentDate,IssuedAmount,TotalDue,Payment
24581685,1,527294,1,TDOTUK 3-50,Collections M1,28/05/2025,Partially Paid,08/05/2024,14/04/2025,£500,£151,£849
24065678,1,481096,1,Nouveau 2-75,Debt Management Plan,01/09/2024,Payment Plan DMP/IVA,06/03/2024,09/05/2025,£500,£135,£849
20848072,1,192288,1,TDOTUK 8-50,Collections M0,04/06/2025,Partially Paid,17/11/2022,29/04/2025,£500,£152,£848
24671814,1,542699,1,TDOTUK CPF,External Collections,08/05/2025,Partially Paid,29/05/2024,31/10/2024,£500,£152,£848
25206693,1,753286,1,StopGo 1-05,Funds Sent,10/02/2025,Paying,10/02/2025,28/05/2025,£700,£332,£848
25162524,1,680566,1,StopGo 1-05,Collections,04/06/2025,Partially Paid,11/11/2024,02/06/2025,£500,£153,£847
25463707,1,637710,1,Flux CPF,Funds Sent,18/09/2024,Paying,18/09/2024,22/04/2025,£500,£153,£847
20057058,1,103407,1,TDOTUK 5-50,External Collections – Payment Plan,03/04/2023,Payment Plan,10/01/2022,04/06/2025,£500,£153,£847
20716910,1,719788,2,TDOTUK 10,Funds Sent,29/12/2024,Paying,29/12/2024,30/05/2025,£500,£130,£845
22544717,1,676854,2,Repeat,Funds Sent,06/11/2024,Paying,06/11/2024,30/05/2025,£500,£156,£844
25238921,1,736548,1,Nouveau 2-75,Funds Sent,17/01/2025,Paying,17/01/2025,23/05/2025,£600,£152,£844
22051371,1,686499,3,Repeat,Funds Sent,18/11/2024,Paying,18/11/2024,23/05/2025,£500,£157,£844
24672875,1,717187,1,DLT 7-50,Funds Sent,26/12/2024,Paying,26/12/2024,27/05/2025,£500,£134,£843
20707156,1,287422,2,Repeat,External Collections – Expired,16/12/2024,Partially Paid,26/05/2023,21/11/2023,£500,£157,£843
20421566,1,460044,1,Flux CPF7,Payment Plan,31/01/2025,Payment Plan,03/02/2024,02/06/2025,£500,£158,£842
20202615,1,264337,1,MediaBlanket 1,Debt Management Plan,27/11/2023,Payment Plan DMP/IVA,15/04/2023,09/05/2025,£500,£159,£841
21107300,1,688413,2,Cozi 7,Funds Sent,20/11/2024,Paying,20/11/2024,09/05/2025,£500,£160,£840
